"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Germany","DEU","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71322","55613","45392","33913","31512","25261","39978","44339","35532","36126","45040","48415","41954","21244","2469","","","","",
"Djibouti","DJI","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","27350","28513","30715","32838","34628","35666","","36538","37650","38009","38653","40365","42483","","44801","44444","42620","41595","","39524","38600","36929","33170","24336","23047","","16202","","15875","12505","14802","16101","15192","15144","13985","15408",
"Dominica","DMA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","502","426","","744","949","779","779","","","","","","","","","","","","","","","","","","","240","228","319","435","535","533","773","702","286","","","","","","","","","","98","",
"Denmark","DNK","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","9772","7881","3970","2261","2004","2739","1960","1592","3718","3781","2853","4380","5103","2270","2491","3122","","","","","","","","2330","2952","2056","674","1005","1404","2104","1835","1071","577","860","94","","","519","","",
"Dominican Republic","DOM","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74663","68103","","46384","68161","79097","71930","75368","44256","65810","","42798","34746","41041","40239","49582","28587","26180","29807","31319","20009","",
"Algeria","DZA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","582530","552460","531203","510766","491441","479981","483753","477769","483418","499170","518503","513207","513823","496400","477061","461462","443549","436104","399297","372141","375754","367840","356793","356938","360209","","270586","245098","195238","161062","144165","123499","112526","103832","92229","62151","","","","","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","11500000","7974052","6796476","5675449","5556378","5574630","5941852","6569864","7518215","8808273","9631404","10300000","8157894","5568267","5145578","4519310","4215867","4131057","4267069","4297371","4758708","3645962","3597894","3237432","2910669","2497085","2739438","2775752","2850330","2937267","3132480","3026843","3057517","3174774","",
"Early-demographic dividend","EAR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","40600000","41900000","41200000","39800000","40800000","39700000","39400000","38700000","40600000","41100000","40200000","39300000","38200000","37600000","37100000","37500000","37000000","38400000","37200000","35400000","36300000","36300000","36800000","36100000","34900000","35600000","34600000","34800000","34900000","33500000","30800000","29400000","28300000","22500000","20200000","18000000","16700000","13600000","12300000","12100000","11200000","10700000","10500000","9577394","9663122","10100000","10100000","9865567","10300000","10300000","",
"East Asia & Pacific","EAS","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","12200000","8470310","7207412","6035357","6023212","6058997","6404643","7001400","7949268","9252147","10100000","10700000","8538407","5919062","5462485","4848461","4548013","4438376","4565647","4564028","5022966","3873030","3803657","3413058","3073691","2647358","2909704","2960403","3021218","3061476","3283119","3182733","3205055","3319331","",
"Europe & Central Asia (excluding high income)","ECA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","749178","852683","966901","924868","991738","903578","761272","792398","676144","530131","456090","422545","557009","568511","519473","409248","442020","371984","362488","371809","311855","329162","294291","291181","274762","285137","299153","",
